replicate,sample_id,single_arm_outcome_same_item,num_subquestions,any_subanswer_hedged
1,0d18e3c2-1d07-4cd1-9be4-ff6429340885,correct,3,False
1,389b4ed8-3a58-401d-9532-b0215b8148b9,correct,3,False
1,466e16dc-c217-4705-86d0-b18e4cb66f2a,correct,3,False
1,467eef48-3aab-4195-aa79-0838f35da84f,wrong,3,False
1,67a36ceb-b76a-47a2-bc41-a85a7b45bf9e,wrong,3,False
1,6928664e-070a-45a8-9a14-074dac6941e7,wrong,3,False
1,74ff0dcc-2f9c-4243-866c-7a2375e6f0a2,wrong,3,False
1,79240360-9a1e-4999-88c0-e60cc6176075,wrong,3,False
1,96f5969a-931e-4b6c-9d4c-ec01db548500,wrong,3,False
1,ac7d4931-90f0-431a-a722-bbbf13939472,correct,3,False
1,aed5fff6-10fa-4e2d-b444-edcaec74a644,wrong,3,False
1,fca46ec7-f3b9-488d-82c6-4a9bc2fd9bc4,correct,3,False
2,0ccec700-53b1-4b2c-86de-d5930f63baef,wrong,3,False
2,275341e6-a13d-49b5-923e-fc45b78ce09a,wrong,3,False
2,36cae278-14d8-4402-b0cd-a1883e9c7828,refusal/declined,3,False
2,382c0dd9-716f-485b-89e5-3a4084f1bd98,correct,3,False
2,466e16dc-c217-4705-86d0-b18e4cb66f2a,wrong,3,False
2,67a36ceb-b76a-47a2-bc41-a85a7b45bf9e,wrong,3,False
2,96f5969a-931e-4b6c-9d4c-ec01db548500,refusal/declined,3,False
2,ac7d4931-90f0-431a-a722-bbbf13939472,correct,3,False
2,c3c04a88-e7fc-455a-9660-1e0f3d742fc9,correct,3,False
